,id,names,address,area code,phone,web,description,category,city,link,openstreetmap,lat,long,latlong
37,38,CrossFit 502 - Dinamia,"Dinamia Cayalá, Zona 16 ",502.0,23685013,https://www.facebook.com/CF502/,crossfit,Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Office+Depot+Dinamia+Cayal%C3%A1/@14.6104396,-90.4913717,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a302176c66d9:0xf28c2b96ae767a45!8m2!3d14.6104398!4d-90.4826169","geo:14.61047,-90.48289?z=19",14.61047,-90.48289,"(14.61047, -90.48289)"
38,39,CrossFit 502 -Escala," C.C. Escala, Carretera a El Salvador",502.0,66373778,https://www.facebook.com/CF502/,crossfit,Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Escala/@14.5592341,-90.4706406,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a4a4307defe7:0x454b8065d7281a8!8m2!3d14.5592343!4d-90.4618858","geo:14.55822,-90.46277?z=19",14.55822,-90.46277,"(14.55822, -90.46277)"
39,40,CrossFit FD6,"Plaza Futeca, Zona 14 ",502.0,22136900,https://www.facebook.com/d6lifechangingfitness/,"Todos los entrenadores tienen certificación de CrossFit Level-1 Trainer por lo que cualquier persona puede tener la confianza que está siendo atendido por alguien capacitado.

Nos caracterizamos por ofrecer una atención profesional y personalizada y damos nuestro máximo esfuerzo por realizar entrenos divertidos, variados y efectivos. Estamos seguros que desde el primer entreno la persona sentirá los cambios de nuestra metodología a la de un gimnasio tradicional.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+FD6+Z.14/@14.6022033,-90.6047275,12z/data=!4m8!1m2!2m1!1sCrossFit+FD6!3m4!1s0x8589a3e8dc58cdad:0xf5e617c6fad386d0!8m2!3d14.5836527!4d-90.5144054","geo:14.58219,-90.51554?z=19",14.58219,-90.51554,"(14.58219, -90.51554)"
40,41,Crossfit FD6," C.C. Miraflores, Zona 11",502.0,22253200,https://www.facebook.com/d6lifechangingfitness/,crossfit,Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+FD6+Miraflores/@14.6021824,-90.6047276,12z/data=!4m8!1m2!2m1!1sCrossFit+FD6!3m4!1s0x8589a1af744da4e1:0x3c98f7bb70cb90c1!8m2!3d14.6207747!4d-90.5549686","geo:14.62162,-90.55290?z=19",14.62162,-90.5529,"(14.62162, -90.5529)"
41,42,CrossFit Habit,17 Avenida 24-45 Zona 11,502.0,55999990,http://www.crossfithabit.com/,"CrossFit es un programa de entrenamiento con ejercicios funcionales con entrenamientos de alta intensidad y corta duración. 

CrossFit HABIT nace con la idea de buscar moldear continuamente de manera segura, eficiente y eficaz la práctica de este deporte y aumentar la capacidad de trabajo de nuestros atletas a través del tiempo haciendo de CrossFit un estilo de vida.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+Habit/@14.6045277,-90.5698451,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a103cb823f49:0x9678a105b04a19b5!8m2!3d14.6045279!4d-90.5610903","geo:14.60444,-90.56084?z=18",14.60444,-90.56084,"(14.60444, -90.56084)"
42,43,CrossFit Spring City Once,"C.C. Via Majadas, Zona 11 ",502.0,24737396,http://www.crossfitspringcityonce.com/,Es un programa de fuerza y acondicionamiento físico cuya fórmula es “movimiento funcional con constante variación y ejecutado a alta intensidad”.,Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Via+Majadas,+Cdad.+de+Guatemala,+Guatemala/@14.6208767,-90.5689198,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1adc409025f:0xca2854b439f2f3f8!8m2!3d14.6208769!4d-90.560165","geo:14.62158,-90.55976?z=19",14.62158,-90.55976,"(14.62158, -90.55976)"
43,44,CrossFit Spring City Once," Expobodegas Petapa, Zona 12",502.0,24774632,http://www.crossfitspringcityonce.com/,Es un programa de fuerza y acondicionamiento físico cuya fórmula es “movimiento funcional con constante variación y ejecutado a alta intensidad”.,Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/CrossFit+Spring+City+7/@14.5687916,-90.5570252,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a13469dcdf9b:0x47f16fc6d641f248!8m2!3d14.5687918!4d-90.5482704","geo:14.56897,-90.54811?z=19",14.56897,-90.54811,"(14.56897, -90.54811)"
44,45,Curves Miraflores,Calzada Roosevelt 21 Avenida Zona 11,502.0,22697369,https://curveslatinoamerica.com/guatemala.html,"Curves trabaja los principales grupos musculares con un entrenamiento completo de 30 minutos que combina ejercicio de fuerza y actividad cardiovascular sostenida a través de equipos de resistencia hidráulica. 

Curves también trabaja para ayudar a las mujeres a perder peso, obtener fuerza muscular y capacidad aeróbica y aumentar el metabolismo con su innovador y científicamente probado método que termina con la necesidad de dietas permanentes. 

Gary y Diane Heavin fundadores son considerados como innovadores del fenómeno que ha facilitado ejercitarse a más de 4 millones de mujeres en todo el mundo, muchas de las cuales están en el gimnasio por primera vez. Con 10.000 clubs en 89 países, Curves es la franquicia de fitness más grande del mundo.","Pilates, Yoga, Zumba",Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Miraflores/@14.621449,-90.5901343,13z/data=!4m8!1m2!2m1!1scalzada+roosvelt+21+avenida+zona+11!3m4!1s0x0:0xa26cbe7b9f7a7385!8m2!3d14.6212919!4d-90.5531037","geo:14.62132,-90.55373?z=18",14.62132,-90.55373,"(14.62132, -90.55373)"
45,46,Curves Zona 15,"1a. Calle 22-13 Zona 15, Vista Hermosa II",502.0,23692622,https://curveslatinoamerica.com/guatemala.html,"Curves trabaja los principales grupos musculares con un entrenamiento completo de 30 minutos que combina ejercicio de fuerza y actividad cardiovascular sostenida a través de equipos de resistencia hidráulica. 

Curves también trabaja para ayudar a las mujeres a perder peso, obtener fuerza muscular y capacidad aeróbica y aumentar el metabolismo con su innovador y científicamente probado método que termina con la necesidad de dietas permanentes. 

Gary y Diane Heavin fundadores son considerados como innovadores del fenómeno que ha facilitado ejercitarse a más de 4 millones de mujeres en todo el mundo, muchas de las cuales están en el gimnasio por primera vez. Con 10.000 clubs en 89 países, Curves es la franquicia de fitness más grande del mundo.","Yoga, Zumba Pilates",Guatemala - Guatemala,"https://www.google.com/maps/place/Gimnasio+Curves/@14.5881748,-90.4996698,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a39f7d2e5555:0x6890f567796f4caa!8m2!3d14.588175!4d-90.490915","geo:14.58824,-90.49081?z=17",14.58824,-90.49081,"(14.58824, -90.49081)"
46,47,Cy Sport,11 Avenida,502.0,25082017,https://www.facebook.com/cysportgym/,Gimnasio,Pesas ,Guatemala - Guatemala,"https://www.google.com/maps/place/Plaza+Villa+Nueva/@14.5331361,-90.5938251,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a76c5683d0e5:0x875861392309da!8m2!3d14.5331363!4d-90.5850703","geo:14.65861,-90.58899?z=18",14.65861,-90.58899,"(14.65861, -90.58899)"
47,48,Dance Studio,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,502.0,23665684,https://www.facebook.com/dancestudioguatemala/,"""Think it. Dream it. Dance it."" ¡Sé parte de Dance Studio! Visítanos en Deco City y Plaza Decorísima.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Plaza+Decor%C3%ADsima/@14.5825069,-90.5060998,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a399fffad9cb:0xcc07e632b4121468!8m2!3d14.5825071!4d-90.497345","geo:14.58238,-90.49746?z=19",14.58238,-90.49746,"(14.58238, -90.49746)"
48,49,Dance Studio,"Deco City, Guatemala",502.0,23665684,https://www.facebook.com/dancestudioguatemala/,"""Think it. Dream it. Dance it."" ¡Sé parte de Dance Studio! Visítanos en Deco City y Plaza Decorísima.",Baile,,,"geo:14.49626,-90.48148?z=19",14.49626,-90.48148,"(14.49626, -90.48148)"
49,50,Dinamic Fitness - CENTRO 21,Calzada San Juan 21-14 ,502.0,22140707,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+21/@14.6264103,-90.5606009,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a13ee7148155:0x74dbad336e5ab1c2!8m2!3d14.6264105!4d-90.5518461","geo:14.62643,-90.55141?z=18",14.62643,-90.55141,"(14.62643, -90.55141)"
50,51,Dinamic Fitness - FORUM ZONA 10,3ra ave 10-80 Zona 10 Edificio Forum Zona Viva Local 201,502.0,22140707,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Forum+Zona+viva/@14.6024819,-90.5221578,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3d895c196f1:0x10fadd0fc49d81c3!8m2!3d14.6024821!4d-90.513403","geo:14.60253,-90.51353?z=18",14.60253,-90.51353,"(14.60253, -90.51353)"
51,52,Dinamic Fitness - PASAJE NARANJO,10 avenida 18-58 zona 4 de mixco Condado Naranjo. C.C. Pasaje Naranjo,502.0,22140707,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Pasaje+Naranjo/@14.6559569,-90.5517893,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1e040effd7f:0x17fdb5db0d3f470e!8m2!3d14.6559571!4d-90.5430345","geo:14.65602,-90.54299?z=17",14.65602,-90.54299,"(14.65602, -90.54299)"
52,53,Dinamic Fitness - ROOSEVELT,C.C. Gran Vía Roosevelt Local 31,502.0,22430000,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Roosevelt/@14.6248775,-90.5606726,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1bae39d1011:0xe654be23882cd43b!8m2!3d14.6248777!4d-90.5519178","geo:14.62455,-90.55242?z=18",14.62455,-90.55242,"(14.62455, -90.55242)"
53,54,Dinamic Fitness - VILLA HERMOSA,Centro Comercial Pacific Villa Hermosa,502.0,22140505,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Pacific+villa+hermosa/@14.5253591,-90.5621666,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a7a91b6406e3:0x282833669a094419!8m2!3d14.5253593!4d-90.5534118","geo:14.52505,-90.55325?z=19",14.52505,-90.55325,"(14.52505, -90.55325)"
